Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
9,"int_to_hex",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"xor_arrays",24,0.04,0.04,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",24,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"Array_1d_to_2d",10,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",10,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"Array_2d_to_1d",8,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",8,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"_RTC_CheckStackVars",2,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
7,"Number_of_Blocks",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"error_Handler",2,31.54,0.00,2.26,0.00,"performance_analyzing.exe",
7,"error_Handler",2,31.54,0.00,2.26,0.00,"performance_analyzing.exe",
8,"printf",2,31.54,0.04,2.26,0.00,"performance_analyzing.exe",
9,"_vfprintf_l",2,31.49,0.00,2.26,0.00,"performance_analyzing.exe",
10,"__stdio_common_vfprintf",2,31.48,31.48,2.26,2.26,"ucrtbased.dll",
10,"__local_stdio_printf_options",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
11,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__acrt_iob_func",2,0.00,0.00,0.00,0.00,"ucrtbased.dll",
9,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"printf",5,3.21,0.04,0.09,0.00,"performance_analyzing.exe",
7,"_vfprintf_l",5,3.17,0.01,0.09,0.00,"performance_analyzing.exe",
8,"__stdio_common_vfprintf",5,3.16,3.16,0.09,0.09,"ucrtbased.dll",
8,"__local_stdio_printf_options",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__security_check_cookie",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__acrt_iob_func",5,0.00,0.00,0.00,0.00,"ucrtbased.dll",
7,"_RTC_CheckStackVars",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__CheckForDebuggerJustMyCode",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"__chkstk",1,0.05,0.05,0.01,0.01,"performance_analyzing.exe",
6,"_RTC_CheckStackVars",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"__CheckForDebuggerJustMyCode",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"__security_check_cookie",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
4,"pre_c_initialization",1,0.71,0.08,0.10,0.01,"performance_analyzing.exe",
5,"__scrt_narrow_argv_policy::configure_argv",1,0.38,0.38,0.05,0.05,"performance_analyzing.exe",
5,"atexit",1,0.11,0.00,0.02,0.00,"performance_analyzing.exe",
6,"_onexit",1,0.11,0.11,0.02,0.02,"performance_analyzing.exe",
5,"__scrt_file_policy::set_fmode",1,0.05,0.05,0.01,0.01,"performance_analyzing.exe",
5,"__scrt_main_policy::set_app_type",1,0.05,0.05,0.01,0.01,"performance_analyzing.exe",
5,"__scrt_file_policy::set_commode",1,0.03,0.03,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_narrow_environment_policy::initialize_environment",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_initialize_onexit_tables",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
6,"__scrt_is_ucrt_dll_in_use",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_is_user_matherr_present",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_initialize_mta",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
4,"__scrt_common_main_seh",1,0.29,0.29,0.04,0.04,"performance_analyzing.exe",
4,"post_pgo_initialization",1,0.25,0.00,0.04,0.00,"performance_analyzing.exe",
5,"__scrt_initialize_default_local_stdio_options",1,0.25,0.10,0.04,0.01,"performance_analyzing.exe",
6,"__local_stdio_printf_options",1,0.16,0.12,0.02,0.02,"performance_analyzing.exe",
7,"__CheckForDebuggerJustMyCode",1,0.04,0.04,0.01,0.01,"performance_analyzing.exe",
4,"__scrt_is_managed_app",1,0.16,0.16,0.02,0.02,"performance_analyzing.exe",
5,"GetModuleHandleW",1,0.00,0.00,0.00,0.00,"KERNEL32.DLL",
4,"__scrt_initialize_crt",1,0.14,0.04,0.02,0.01,"performance_analyzing.exe",
5,"__isa_available_init",1,0.10,0.05,0.01,0.01,"performance_analyzing.exe",
6,"__security_check_cookie",1,0.05,0.05,0.01,0.01,"performance_analyzing.exe",
4,"__scrt_acquire_startup_lock",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_is_ucrt_dll_in_use",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
4,"__scrt_release_startup_lock",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
5,"__scrt_is_ucrt_dll_in_use",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
4,"_RTC_Terminate",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
3,"__security_init_cookie",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
