Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
Callee,int_to_hex,int_to_hex,17,0.01,0.01,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,12,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,13,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,8,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,32,0.01,0.01,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,31,0.01,0.01,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,9,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,5,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,5,0,0,0,0,performance_analyzing.exe
Root,inverseMixedColumn,inverseMixedColumn,18,10.72,0.71,0.09,0.01,performance_analyzing.exe
Caller,inverseMixedColumn,__DebuggerCurrentSteppingThreadId,18,10.72,0.71,0.09,0.01,performance_analyzing.exe
Callee,inverseMixedColumn,__CheckForDebuggerJustMyCode,18,0,0,0,0,performance_analyzing.exe
Callee,inverseMixedColumn,__security_check_cookie,18,0.01,0.01,0,0,performance_analyzing.exe
Callee,inverseMixedColumn,_RTC_CheckStackVars,18,0.02,0.02,0,0,performance_analyzing.exe
Callee,inverseMixedColumn,R_Boxes,"1,152",9.97,8.09,0,0,performance_analyzing.exe
Root,inverseSubShiftRow,inverseSubShiftRow,20,2.5,0.28,0.02,0,performance_analyzing.exe
Caller,inverseSubShiftRow,__DebuggerCurrentSteppingThreadId,20,2.5,0.28,0.02,0,performance_analyzing.exe
Callee,inverseSubShiftRow,__CheckForDebuggerJustMyCode,20,0,0,0,0,performance_analyzing.exe
Callee,inverseSubShiftRow,R_Boxes,320,2.21,1.88,0,0,performance_analyzing.exe
Root,invoke_main,invoke_main,1,90.57,0.01,12.98,0,performance_analyzing.exe
Caller,invoke_main,__scrt_common_main_seh,1,90.57,0.01,12.98,0,performance_analyzing.exe
Callee,invoke_main,main,1,90.56,0.13,12.98,0.02,performance_analyzing.exe
Root,L_Array_Length,L_Array_Length,2,0.2,0,0.01,0,performance_analyzing.exe
Caller,L_Array_Length,OCB_init,2,0.2,0,0.01,0,performance_analyzing.exe
Callee,L_Array_Length,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,L_Array_Length,ceil,2,0.07,0.07,0.01,0.01,ucrtbased.dll
Callee,L_Array_Length,log2,2,0.12,0.12,0.01,0.01,ucrtbased.dll
Root,log2,log2,2,0.12,0.12,0.01,0.01,ucrtbased.dll
Caller,log2,L_Array_Length,2,0.12,0.12,0.01,0.01,performance_analyzing.exe
Root,main,main,1,90.56,0.13,12.98,0.02,performance_analyzing.exe
Caller,main,invoke_main,1,90.56,0.13,12.98,0.02,performance_analyzing.exe
Callee,main,__CheckForDebuggerJustMyCode,1,0,0,0,0,performance_analyzing.exe
Callee,main,__chkstk,1,0.05,0.05,0.01,0.01,performance_analyzing.exe
Callee,main,__security_check_cookie,1,0,0,0,0,performance_analyzing.exe
Callee,main,_RTC_CheckStackVars,1,0,0,0,0,performance_analyzing.exe
Callee,main,error_Handler,2,31.54,0,2.26,0,performance_analyzing.exe
Callee,main,OCB_enc_dyc,2,55.63,0.45,3.99,0.03,performance_analyzing.exe
Callee,main,printf,5,3.21,0.04,0.09,0,performance_analyzing.exe
Root,mainCRTStartup,mainCRTStartup,1,100,0.05,14.33,0.01,performance_analyzing.exe
Callee,mainCRTStartup,__scrt_common_main,1,99.95,7.74,14.33,1.11,performance_analyzing.exe
Root,mixColumns,mixColumns,90,24.41,2.22,0.04,0,performance_analyzing.exe
Caller,mixColumns,AESEncryption,90,24.41,2.22,0.04,0,performance_analyzing.exe
Callee,mixColumns,__CheckForDebuggerJustMyCode,90,0.03,0.03,0,0,performance_analyzing.exe
Callee,mixColumns,__security_check_cookie,90,0.05,0.05,0,0,performance_analyzing.exe
Callee,mixColumns,_RTC_CheckStackVars,90,0.04,0.04,0,0,performance_analyzing.exe
Callee,mixColumns,R_Boxes,"2,880",22.07,16.92,0,0,performance_analyzing.exe
Root,ntz,ntz,4,0,0,0,0,performance_analyzing.exe
Caller,ntz,OCB_init,4,0,0,0,0,performance_analyzing.exe
Callee,ntz,__CheckForDebuggerJustMyCode,4,0,0,0,0,performance_analyzing.exe
Root,Number_of_Blocks,Number_of_Blocks,2,0,0,0,0,performance_analyzing.exe
Caller,Number_of_Blocks,OCB_enc_dyc,2,0,0,0,0,performance_analyzing.exe
Callee,Number_of_Blocks,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Root,OCB_enc_dyc,OCB_enc_dyc,2,55.63,0.45,3.99,0.03,performance_analyzing.exe
Caller,OCB_enc_dyc,main,2,55.63,0.45,3.99,0.03,performance_analyzing.exe
Callee,OCB_enc_dyc,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,__chkstk,2,0.24,0.24,0.02,0.02,performance_analyzing.exe
Callee,OCB_enc_dyc,__DebuggerCurrentSteppingThreadId,2,13.34,0.12,0.96,0.01,performance_analyzing.exe
Callee,OCB_enc_dyc,__security_check_cookie,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,_RTC_CheckStackVars,2,0.01,0.01,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,AESEncryption,6,23.01,0.11,0.55,0,performance_analyzing.exe
Callee,OCB_enc_dyc,Array_1d_to_2d,10,0.02,0.02,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,array_1d_to_str,2,0.12,0.05,0.01,0,performance_analyzing.exe
Callee,OCB_enc_dyc,Array_2d_to_1d,8,0.02,0.02,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,ciphertext_blocks_to_str,2,0.2,0.07,0.01,0,performance_analyzing.exe
